"Ref Name","Package","Height","Centre X","Centre Y","Rotation"
"C101","0805","1.35mm","650.00","750.00","0.00"
"C102","0805","1.35mm","700.00","1175.00","90.00"
"C103","1206","1.8mm","900.00","1164.60","90.00"
"C104","1206","1.8mm","1025.00","600.00","90.00"
"C105","1206","1.8mm","2025.00","1425.00","90.00"
"C106","0805","1.35mm","2026.02","1163.39","0.00"
"C107","1206","1.8mm","1800.00","1425.00","90.00"
"C108","1206","1.8mm","1437.50","1648.00","90.00"
"C109","1206","1.8mm","1437.50","1502.00","90.00"
"C110","1206","1.8mm","1437.50","1575.00","90.00"
"C111","0805","1.35mm","400.00","2950.00","0.00"
"C112","0805","1.35mm","1135.70","3800.00","90.00"
"C113","0805","1.35mm","1035.70","4000.00","90.00"
"C114","0805","1.35mm","2435.70","4000.00","90.00"
"C201","0805","1.35mm","1405.75","1923.01","90.00"
"C202","0805","1.35mm","1405.75","1988.01","90.00"
"C203","0805","1.35mm","1676.87","2375.00","0.00"
"C204","0805","1.35mm","1523.13","2375.00","0.00"
"C205","0805","1.35mm","2225.00","3355.00","0.00"
"C206","0805","1.35mm","2637.50","2037.50","90.00"
"C207","0805","1.35mm","2950.00","1975.00","90.00"
"C208","0805","1.35mm","3110.00","1975.00","90.00"
"C209","1206","1.8mm","2927.60","2043.00","90.00"
"C210","1206","1.8mm","3134.60","2043.00","90.00"
"C213","0805","1.35mm","1868.96","925.00","0.00"
"C214","0805","1.45mm","1100.00","1860.00","90.00"
"C215","0805","1.45mm","1100.00","1990.00","90.00"
"D101","SOT23-2mm centres pins 1-3","1.5mm","775.00","925.00","0.00"
"D201","SC-90A","1mm","1925.00","2187.50","0.00"
"D202","SC-90A","1mm","1925.00","2325.00","0.00"
"D203","SC-90A","1mm","1252.87","1925.00","270.00"
"FB101","0805","1.1mm","650.00","975.00","0.00"
"JMP101","1206","1mm","1437.50","1325.00","90.00"
"JMP102","1206","1mm","1437.50","1175.00","90.00"
"JMP103","1206","1mm","1100.00","1538.00","90.00"
"JMP104","1206","1mm","794.25","1612.00","90.00"
"JMP105","1206","1mm","1100.00","1612.00","90.00"
"JMP106","1206","1mm","837.50","2150.00","0.00"
"JMP107","1206","1mm","2600.00","1875.00","0.00"
"JMP108","1206","1mm","2675.00","1875.00","0.00"
"JMP109","1206","1mm","794.25","1538.00","90.00"
"Q101","POWERDI3333-8","1mm","775.00","750.00","180.00"
"Q102","SOT23-BEC (2mm pad centres)","1.5mm","1025.00","925.00","0.00"
"Q103","POWERDI3333-8","1mm","1025.00","750.00","180.00"
"Q105","POWERDI3333-8","1mm","1625.00","750.00","0.00"
"Q106","SOT323 (1_9mm pad centres)","1.5mm","1625.00","925.00","0.00"
"Q107","SOT323 (1_9mm pad centres)","1.5mm","2435.70","3775.00","270.00"
"R101","0805","0.6mm","775.00","1025.00","90.00"
"R104","0805","0.6mm","700.00","1250.00","90.00"
"R105","0805","0.6mm","1100.00","1250.00","90.00"
"R106","0805","0.6mm","1100.00","1175.00","90.00"
"R107","0805","0.6mm","1025.00","1025.00","90.00"
"R108","0805","0.6mm","1150.00","975.00","0.00"
"R109","0805","0.6mm","1625.00","600.00","90.00"
"R110","0805","0.6mm","794.25","1925.00","90.00"
"R111","0805","0.6mm","794.25","1990.00","90.00"
"R112","0805","0.6mm","1775.00","1175.00","90.00"
"R113","0805","0.6mm","1775.00","1250.00","90.00"
"R114","0805","0.6mm","1775.00","1325.00","90.00"
"R115","0805","0.6mm","1405.75","1795.00","90.00"
"R116","0805","0.6mm","1100.00","2355.00","90.00"
"R117","0805","0.6mm","1100.00","2290.00","90.00"
"R118","0805","0.6mm","1235.70","4000.00","90.00"
"R119","0805","0.6mm","2435.70","3675.00","90.00"
"R201","0805","0.6mm","1100.00","2225.00","90.00"
"R202","0805","0.6mm","1500.00","2250.00","90.00"
"R203","0805","0.6mm","1135.70","3725.00","90.00"
"R204","0805","0.6mm","1285.70","3750.00","0.00"
"R205","0805","0.6mm","1485.70","3750.00","0.00"
"R206","0805","0.6mm","2285.70","3750.00","0.00"
"R207","0805","0.6mm","2185.70","3750.00","0.00"
"R208","0805","0.6mm","2085.70","3750.00","0.00"
"R209","0805","0.6mm","1985.70","3750.00","0.00"
"R210","0805","0.6mm","2075.00","3255.00","0.00"
"R211","0805","0.6mm","2075.00","3455.00","0.00"
"R212","0603","1mm","1775.00","850.00","90.00"
"R213","0805","0.6mm","1100.00","1795.00","90.00"
"R214","0805","0.6mm","1100.00","1925.00","90.00"
"U101","WSON","1mm","900.00","1250.00","270.00"
"U102","MSOP","1.5mm","1925.00","1250.00","180.00"
"U103","6-WLCSP","0.7mm","1570.70","1575.00","0.00"
"U201","UQFN4x4","0.6mm","1325.00","2150.26","90.00"
"U202","8-WSON","1.2mm","2992.60","1889.96","90.00"
"U203","SC70-6","1.5mm","1775.00","925.00","90.00"
"XTAL201","MC-146","1.8mm","1600.00","2450.00","270.00"
